"ID","condition","correct","rt"
1,1,1,607.327069540469
1,1,1,576.780797798521
1,1,1,639.514433331685
1,1,1,563.495580083588
1,1,1,570.887530875159
1,1,1,589.281148175118
1,1,1,467.294059038801
1,1,1,696.155741747998
1,1,1,510.430128053619
1,1,1,527.54556945261
1,1,1,694.821459999861
1,1,1,513.096641242866
1,1,1,430.288025006246
1,1,1,462.768056426231
1,1,1,929.684504595407
1,1,1,507.237697274936
1,1,1,1014.52055866354
1,1,0,611.421577695205
1,1,1,648.699669466278
1,1,1,660.37130300991
1,1,1,619.758683513557
1,1,1,780.591654343482
1,1,1,471.624556754097
1,1,1,504.059342948615
1,1,1,549.354615991971
1,1,1,448.248250549846
1,1,1,586.162305283326
1,1,1,1025.71587734289
1,1,1,774.207422426662
1,1,0,516.141465535975
1,1,1,483.996944466707
1,1,1,759.710497211413
1,1,1,560.316551387796
1,1,1,732.848583976107
1,1,1,591.040632299406
1,1,1,556.065605009684
1,1,1,676.823082569848
1,1,1,538.964431300269
1,1,1,646.005694377257
1,1,1,476.414162329051
1,1,1,541.230737713916
1,1,1,505.711867966938
1,1,1,774.040827454195
1,1,1,477.00867660301
1,1,1,585.068416957828
1,1,1,465.770789391031
1,1,1,471.291206434133
1,1,1,489.58591393277
1,1,1,390.103684385046
1,1,1,438.456903936693
1,1,1,1566.43049612399
1,1,1,537.918695364138
1,1,1,611.778168168561
1,1,1,574.561162466666
1,1,1,799.369999301082
1,1,1,399.652922717005
1,1,1,425.134005236695
1,1,1,490.159194980651
1,1,1,506.644577169665
1,1,1,670.628417305116
1,1,1,551.552749219144
1,1,1,386.424424463905
1,1,1,527.46608797471
1,1,1,677.777341089007
1,1,1,596.987201627582
1,1,1,647.937160474215
1,1,1,799.779408645395
1,1,1,578.844353890507
1,1,1,603.260326102394
1,1,1,749.876674347883
1,1,1,467.492225737693
1,1,1,632.85378248353
1,1,1,574.990079248239
1,1,0,566.861964099331
1,1,1,501.829776504282
1,1,1,635.844253456387
1,1,1,1606.20381293614
1,1,1,463.934837986996
1,1,1,478.790240554795
1,1,1,582.242533669526
1,1,1,620.632902343799
1,1,1,632.1613531429
1,1,1,776.586392436253
1,1,1,594.417652047586
1,1,1,537.080112480783
1,1,1,604.637780803043
1,1,1,551.780666895263
1,1,1,491.928557439683
1,1,1,539.155327581671
1,1,1,578.006314134882
1,1,1,427.913281456629
1,1,1,484.317704561596
1,1,1,480.170525199839
1,1,1,720.186093478993
1,1,1,543.50127091536
1,1,1,474.227219501045
1,1,1,566.311511414751
1,1,1,450.776548508268
1,1,1,692.209745190291
1,1,1,476.025332059061
1,1,1,539.063135244457
1,1,1,569.688944252705
1,1,0,717.981892989913
1,1,1,852.11201692871
1,1,1,423.837039744545
1,1,1,773.07547476518
1,1,1,640.877829336291
1,1,1,541.765768749866
1,1,1,512.047622558782
1,1,1,742.734585593889
1,1,1,434.666636457698
1,1,1,1002.65906883266
1,1,1,674.253100587298
1,1,1,695.538897389823
1,1,1,689.083742628672
1,1,1,546.338967827676
1,1,1,569.829231945391
1,1,1,705.904645346504
1,1,1,658.186679080547
1,1,1,597.44419221843
1,1,1,469.399649292302
1,1,1,567.253598428431
1,1,1,759.541849579984
1,1,1,481.222763724899
1,1,1,572.895478345902
1,1,1,530.043200590262
1,1,1,1066.84846920482
1,1,1,434.892177881042
1,1,1,451.276670710938
1,1,1,550.970013494733
1,1,1,541.085197796829
1,1,1,445.772417645035
1,1,1,1099.44204830568
1,1,1,876.134182153805
1,1,1,505.560905399764
1,1,1,696.461619729843
1,1,1,573.056966776733
1,1,1,672.071625070292
1,1,1,697.704212509856
1,1,1,569.528605715069
1,1,1,958.61128536563
1,1,1,517.364880714289
1,1,1,447.0594135525
1,1,1,547.76957942062
1,1,1,511.297236781294
1,1,1,598.206967960884
1,1,0,653.284496215578
1,1,1,621.027346832388
1,1,1,501.012473676443
1,1,1,498.708984608855
1,1,1,606.216917070028
1,1,1,696.333478111967
1,1,1,503.109916650344
1,1,1,432.241168649791
1,1,1,628.305600975011
1,1,1,536.199788304234
1,1,1,478.78096742642
1,1,1,597.367565216192
1,1,1,512.066157476349
1,1,1,437.319332691634
1,1,1,529.023730802769
1,1,1,566.681748724623
1,1,0,600.799407169954
1,1,1,658.91608468017
1,1,1,639.522453375704
1,1,1,553.14971282383
1,1,1,652.171728165418
1,1,1,493.866327392608
1,1,1,604.560028863038
1,1,1,551.678259491867
1,1,1,465.893363249502
1,1,1,445.886072441439
1,1,1,544.847363942804
1,1,1,576.621371102774
1,1,1,745.237446899734
1,1,1,587.198703536107
1,1,1,762.246398698168
1,1,1,628.227335977743
1,1,1,573.432763407017
1,1,1,725.95242346974
1,1,1,725.186400565108
1,1,1,600.208307693147
1,1,1,774.694489966163
1,1,1,579.709340830209
1,1,1,1463.88517829209
1,1,1,714.885146945398
1,1,1,636.979518057896
1,1,1,596.539217907966
1,1,1,438.548177142899
1,1,1,450.920401613942
1,1,1,552.243875211517
1,1,0,739.918068277791
1,1,1,500.48884427197
1,1,1,561.92271710535
1,1,1,415.527227445449
1,1,1,578.100351706542
1,1,1,494.693857092944
1,1,1,490.515436785426
1,1,1,675.462359629874
1,1,1,586.416212850344
1,1,1,809.510464321436
1,1,1,810.239815904348
1,1,1,550.074250358656
1,1,1,640.166117245235
1,1,1,512.933189828419
1,1,1,614.059810329635
1,1,0,654.03300349114
1,1,1,624.381710659691
1,1,1,631.414564575728
1,1,1,698.453044690767
1,1,1,463.524821145205
1,1,0,542.085530430065
1,1,1,687.194381305966
1,1,1,470.906408217018
1,1,1,600.052550468775
1,1,1,806.736874751249
1,1,1,640.042097482965
1,1,1,660.243453866994
1,1,1,530.126013346508
1,1,1,403.551808845464
1,1,1,510.658142833795
1,1,1,802.096159350243
1,1,1,637.270022778347
1,1,1,605.808193048104
1,1,1,501.803890941283
1,1,1,521.407539318391
1,1,1,448.897113664444
1,1,1,662.252913130624
1,1,1,518.249931511546
1,1,1,440.060589885172
1,1,1,401.880942922615
1,1,1,546.346915119828
1,1,1,505.663912110915
1,1,1,425.301766752249
1,1,1,617.087073465336
1,1,1,427.331849028975
1,1,1,533.455242714897
1,1,1,467.569817286568
1,1,1,520.454960659627
1,1,1,419.233401566961
1,1,1,908.143600183822
1,1,1,558.473484547163
1,1,1,433.414382705606
1,1,1,764.997743129446
1,1,1,486.716063403882
1,1,1,501.892736223423
1,1,1,607.847498636981
1,1,1,575.7880639931
1,1,1,727.370803117025
1,1,1,761.410825717649
1,1,1,705.342313716879
1,1,1,457.567425964594
1,1,1,696.412669904293
1,1,1,494.794167030916
1,1,1,419.196779385751
1,1,1,446.666301571793
1,1,1,945.322957430569
1,1,1,1011.30722182288
1,1,1,679.056352799378
1,1,1,439.476482180245
1,1,1,482.335374538096
1,1,1,499.380286342091
1,1,1,779.498012735328
1,1,1,713.404585581094
1,1,0,858.45594554076
1,1,1,536.167559581674
1,1,1,557.036069997647
1,1,1,589.408377628427
1,1,1,817.302749640981
1,1,1,483.972684822532
1,1,1,670.25481624829
1,1,1,581.675535170273
1,1,1,489.514545356507
1,1,1,666.829625306432
1,1,1,449.474972983492
1,1,1,1084.59671971954
1,1,1,620.055926734004
1,1,1,465.630598817899
1,1,1,606.861329975545
1,1,1,696.631445566145
1,1,1,517.295667221573
1,1,1,612.724564472055
1,1,1,429.331878498915
1,1,1,782.246737876309
1,1,1,501.382714243783
1,1,1,548.275305657812
1,1,1,582.481705571948
1,1,1,707.091505535057
1,1,1,1793.02848389385
1,1,1,477.885059360379
1,1,1,806.920471210755
1,1,1,485.984430179798
1,1,1,511.041692866973
1,1,1,497.818539857737
1,1,1,573.468780269383
1,1,1,667.658533198614
1,1,1,406.056494445877
1,1,1,447.410434467888
1,1,1,563.756683065155
1,1,1,421.465438180212
1,1,0,450.119544148442
1,1,1,690.17824526248
1,1,1,439.201401000954
1,1,1,959.657951631507
1,1,1,539.607282705946
1,1,1,515.195278148785
1,1,1,787.904949781412
1,1,1,636.080279632962
1,1,1,534.603375186252
1,1,1,443.904083178266
1,1,1,746.124533309384
1,1,1,591.465237945103
1,1,1,651.61248598898
1,1,1,586.930430251587
1,1,1,467.023874193547
1,1,1,630.641560343337
1,1,1,579.219678613068
1,1,1,1240.28717024314
1,1,1,575.504685579922
1,1,1,569.825971027473
1,1,1,833.023672609095
1,1,1,383.867483520299
1,1,1,487.740153885181
1,1,1,410.230872300752
1,1,1,624.422399423189
1,1,1,442.319679486139
1,1,1,703.183327289862
1,1,1,712.76346273251
1,1,1,941.517362703683
1,1,1,598.400980975199
1,1,1,527.899915517505
1,1,1,744.140842868083
1,1,1,647.101635909345
1,1,1,641.33855570294
1,1,1,697.118414668074
1,1,1,483.62431001698
1,1,1,557.27131437015
1,1,1,504.133929448911
1,1,1,424.911242293003
1,1,1,425.965371330961
1,1,1,686.451531628443
1,1,1,420.500336167978
1,1,1,464.235332818118
1,1,0,515.13728254847
1,1,1,668.892506355425
1,1,1,397.308955914877
1,1,1,619.513361624204
1,1,1,653.501736802908
1,1,1,564.1114128636
1,1,1,662.428927783594
1,1,1,830.057207209364
1,1,1,551.152855992426
1,1,1,625.737028702425
1,1,1,474.876806213631
1,1,1,390.831988341048
1,1,1,473.303649232006
1,1,1,600.399108474197
1,1,1,632.87994138634
1,1,1,755.333513741025
1,1,1,668.772936393869
1,1,1,429.377898121778
1,1,1,1240.30519931496
1,1,1,724.473352118191
1,1,1,728.06996804175
1,1,1,464.549911441833
1,1,1,409.047909606876
1,1,1,480.941427212372
1,1,1,708.268489473825
1,1,1,533.095101863162
1,1,1,432.61125347169
1,1,1,583.229348938343
1,1,1,604.888220362819
1,1,1,552.118059254189
1,1,1,513.348483838378
1,1,1,543.29234407029
1,1,1,471.599380775423
1,1,1,488.215028319308
1,1,1,782.528453306315
1,1,1,690.912425321222
1,1,0,602.634221154414
1,1,1,502.958720180562
1,1,1,753.068888171671
1,1,1,430.556693449661
1,1,1,611.255317311085
1,1,1,409.730338140202
1,1,1,823.72923555882
1,1,1,400.464147382797
1,1,1,704.367447735172
1,1,1,537.335197232572
1,1,1,401.087743751976
1,1,1,493.453330773713
1,1,1,546.597185178641
1,1,0,652.401118323869
1,1,1,722.726559100034
1,1,1,531.117233190427
1,1,1,572.585427916189
1,1,1,639.750927936498
1,1,1,594.269953500846
1,1,1,497.908947818599
1,1,1,501.37251993431
1,2,1,490.663316821205
1,2,1,408.335841030401
1,2,1,753.239068185684
1,2,1,623.356090385966
1,2,1,457.991407486674
1,2,1,503.478017194583
1,2,1,464.609935159399
1,2,1,606.317470089121
1,2,1,353.693398145431
1,2,1,362.305595610041
1,2,1,307.496284569173
1,2,1,742.211711251215
1,2,0,467.131956411516
1,2,1,451.67769989051
1,2,1,403.730727140645
